,Year,Jurisdiction,Type,Stream,Management,Tonnes
71226,2007,WA,Tyres (T140),Total,Recycling,8.999353067683108
70580,2007,Vic,Tyres (T140),Total,Recycling,11.91876944783885
69954,2007,Tas,Tyres (T140),Total,Recycling,10.566233766233767
69307,2007,SA,Tyres (T140),Total,Recycling,5.999083571252335
68689,2007,Qld,Tyres (T140),Total,Recycling,15.207853809275532
68082,2007,NT,Tyres (T140),Total,Recycling,10.567135239941832
67516,2007,NSW,Tyres (T140),Total,Recycling,8.363296116402784
66902,2007,ACT,Tyres (T140),Total,Recycling,10.571081409477522
66472,2008,WA,Tyres (T140),Total,Recycling,9.000765371205034
66086,2008,Vic,Tyres (T140),Total,Recycling,11.918629815123973
65700,2008,Tas,Tyres (T140),Total,Recycling,10.566426364572605
65314,2008,SA,Tyres (T140),Total,Recycling,5.999860549435225
64928,2008,Qld,Tyres (T140),Total,Recycling,15.207984625875643
64542,2008,NT,Tyres (T140),Total,Recycling,10.576015108593012
64156,2008,NSW,Tyres (T140),Total,Recycling,8.363647669682555
63770,2008,ACT,Tyres (T140),Total,Recycling,10.57347670250896
63160,2009,WA,Tyres (T140),Total,Recycling,9.000493177708368
62514,2009,Vic,Tyres (T140),Total,Recycling,11.918822760607014
61888,2009,Tas,Tyres (T140),Total,Recycling,10.564885496183205
61238,2009,SA,Tyres (T140),Total,Recycling,5.999448959911834
60620,2009,Qld,Tyres (T140),Total,Recycling,15.208029241106432
60017,2009,NT,Tyres (T140),Total,Recycling,10.572282233969203
59451,2009,NSW,Tyres (T140),Total,Recycling,8.363391820015895
58838,2009,ACT,Tyres (T140),Total,Recycling,10.571010248901903
58184,2010,WA,Tyres (T140),Total,Recycling,9.00064164260507
57538,2010,Vic,Tyres (T140),Total,Recycling,11.918321824351581
56912,2010,Tas,Tyres (T140),Total,Recycling,10.567712009680347
56262,2010,SA,Tyres (T140),Total,Recycling,6.00074796858532
55644,2010,Qld,Tyres (T140),Total,Recycling,15.208020878848357
55046,2010,NT,Tyres (T140),Total,Recycling,10.574764256847777
54476,2010,NSW,Tyres (T140),Total,Recycling,8.36355599312832
53862,2010,ACT,Tyres (T140),Total,Recycling,10.568638713383113
53208,2011,WA,Tyres (T140),Total,Recycling,9.00051673112757
52562,2011,Vic,Tyres (T140),Total,Recycling,11.918662470311569
51936,2011,Tas,Tyres (T140),Total,Recycling,10.569512561305174
51286,2011,SA,Tyres (T140),Total,Recycling,6.000337097589752
50668,2011,Qld,Tyres (T140),Total,Recycling,15.208369659982562
50074,2011,NT,Tyres (T140),Total,Recycling,10.570730624028425
49508,2011,NSW,Tyres (T140),Total,Recycling,8.363639976947077
48894,2011,ACT,Tyres (T140),Total,Recycling,10.566356720202874
48459,2012,WA,Tyres (T140),Total,Recycling,9.000563105909569
48073,2012,Vic,Tyres (T140),Total,Recycling,11.918146806920733
47687,2012,Tas,Tyres (T140),Total,Recycling,10.566753143085213
47301,2012,SA,Tyres (T140),Total,Recycling,5.999866372686577
46915,2012,Qld,Tyres (T140),Total,Recycling,15.20798858773181
46529,2012,NT,Tyres (T140),Total,Recycling,10.569105691056912
46143,2012,NSW,Tyres (T140),Total,Recycling,8.363379147059112
45757,2012,ACT,Tyres (T140),Total,Recycling,10.56123859552115
45371,2013,WA,Tyres (T140),Total,Recycling,9.0004276087822
44985,2013,Vic,Tyres (T140),Total,Recycling,11.918591561979378
44599,2013,Tas,Tyres (T140),Total,Recycling,10.570402871958516
44213,2013,SA,Tyres (T140),Total,Recycling,5.99854420328216
43827,2013,Qld,Tyres (T140),Total,Recycling,15.208151578193856
43441,2013,NT,Tyres (T140),Total,Recycling,10.572404955147373
43055,2013,NSW,Tyres (T140),Total,Recycling,8.363470656104868
42669,2013,ACT,Tyres (T140),Total,Recycling,10.576142818501488
42059,2014,WA,Tyres (T140),Total,Recycling,8.999435363611356
41413,2014,Vic,Tyres (T140),Total,Recycling,11.918582238327588
40787,2014,Tas,Tyres (T140),Total,Recycling,10.567164179104479
40137,2014,SA,Tyres (T140),Total,Recycling,6.0
39519,2014,Qld,Tyres (T140),Total,Recycling,15.208280626106852
38921,2014,NT,Tyres (T140),Total,Recycling,10.563973063973064
38338,2014,NSW,Tyres (T140),Total,Recycling,8.363528590686158
37723,2014,ACT,Tyres (T140),Total,Recycling,10.57947900053163
37064,2015,WA,Tyres (T140),Total,Recycling,8.999601094141783
36418,2015,Vic,Tyres (T140),Total,Recycling,11.918532639719109
35792,2015,Tas,Tyres (T140),Total,Recycling,10.564356435643564
35143,2015,SA,Tyres (T140),Total,Recycling,5.998895709506642
34528,2015,Qld,Tyres (T140),Total,Recycling,15.207952096845798
33930,2015,NT,Tyres (T140),Total,Recycling,10.57154276578737
33312,2015,NSW,Tyres (T140),Total,Recycling,8.364038988619244
32684,2015,ACT,Tyres (T140),Total,Recycling,10.578685519769573
32037,2016,WA,Tyres (T140),Total,Recycling,9.00011317338162
31397,2016,Vic,Tyres (T140),Total,Recycling,11.918010327747918
30782,2016,Tas,Tyres (T140),Total,Recycling,10.566933808251706
30124,2016,SA,Tyres (T140),Total,Recycling,6.000129802699896
29517,2016,Qld,Tyres (T140),Total,Recycling,15.207944706224863
28924,2016,NT,Tyres (T140),Total,Recycling,10.57258791704238
28322,2016,NSW,Tyres (T140),Total,Recycling,8.363824083466165
27711,2016,ACT,Tyres (T140),Total,Recycling,10.576923076923077
27060,2017,WA,Tyres (T140),Total,Recycling,8.9999713376709
26418,2017,Vic,Tyres (T140),Total,Recycling,11.918283137655267
25801,2017,Tas,Tyres (T140),Total,Recycling,10.569507613209412
25145,2017,SA,Tyres (T140),Total,Recycling,6.001361735239763
24540,2017,Qld,Tyres (T140),Total,Recycling,15.208297518766834
23947,2017,NT,Tyres (T140),Total,Recycling,10.560859188544153
23337,2017,NSW,Tyres (T140),Total,Recycling,8.36361007176039
22680,2017,ACT,Tyres (T140),Total,Recycling,10.576674424618568
22022,2018,WA,Tyres (T140),Total,Recycling,34.166849615806804
21384,2018,Vic,Tyres (T140),Total,Recycling,32.732524552281916
20767,2018,Tas,Tyres (T140),Total,Recycling,40.74074074074074
20111,2018,SA,Tyres (T140),Total,Recycling,36.54509044351794
19477,2018,Qld,Tyres (T140),Total,Recycling,43.072027107468294
18877,2018,NT,Tyres (T140),Total,Recycling,39.986091794158554
18263,2018,NSW,Tyres (T140),Total,Recycling,32.16181756625343
17604,2018,ACT,Tyres (T140),Total,Recycling,22.639440866109357
16926,2019,WA,Tyres (T140),Total,Recycling,34.166226564562976
16264,2019,Vic,Tyres (T140),Total,Recycling,32.73213152555704
15631,2019,Tas,Tyres (T140),Total,Recycling,40.73768235617947
14959,2019,SA,Tyres (T140),Total,Recycling,36.54433257551153
14269,2019,Qld,Tyres (T140),Total,Recycling,43.072238199966165
13649,2019,NT,Tyres (T140),Total,Recycling,39.99582724807011
13020,2019,NSW,Tyres (T140),Total,Recycling,32.16211934916911
12309,2019,ACT,Tyres (T140),Total,Recycling,22.638014079288627
11629,2020,WA,Tyres (T140),Total,Recycling,34.166226564562976
10884,2020,Vic,Tyres (T140),Total,Recycling,32.73213152555704
10176,2020,Tas,Tyres (T140),Total,Recycling,40.73768235617947
9455,2020,SA,Tyres (T140),Total,Recycling,36.54433257551153
8724,2020,Qld,Tyres (T140),Total,Recycling,43.072238199966165
8039,2020,NT,Tyres (T140),Total,Recycling,39.99582724807011
7334,2020,NSW,Tyres (T140),Total,Recycling,32.162115799130355
6603,2020,ACT,Tyres (T140),Total,Recycling,22.638014079288627
5840,2021,WA,Tyres (T140),Total,Recycling,34.166062656036075
5081,2021,Vic,Tyres (T140),Total,Recycling,32.73230650615921
4356,2021,Tas,Tyres (T140),Total,Recycling,40.746080374842315
3627,2021,SA,Tyres (T140),Total,Recycling,36.543565147881694
2881,2021,Qld,Tyres (T140),Total,Recycling,43.07232122978035
2174,2021,NT,Tyres (T140),Total,Recycling,40.0
1461,2021,NSW,Tyres (T140),Total,Recycling,32.16207820728615
459,2021,ACT,Tyres (T140),Total,Recycling,22.644598035649327
